id,created_at,text
855150446297489408,2017-04-20 20:05:28,b'#PrayersForParis #PrayersForFrance'
851557844100853760,2017-04-10 22:09:45,b'Jai Hanuman! Pawan Putra Hanuman ki Jai!  A blessed Hanuman Jayanti friends. #HanumanJayanti #JaiHanuman'
850412854398164992,2017-04-07 18:19:59,"b'Music! The best friend anyone can have. Always there for you, always relates to you and never judges. A companion throughout the times!!'"
850412236124209152,2017-04-07 18:17:31,b'Current favorite color? #Pink !! #PinkMovie'
849724430343225344,2017-04-05 20:44:25,"b'""When you change the way you look at things, the things you look at change!"" Simple yet compelling thought. Practice friends!'"
848945205038403584,2017-04-03 17:08:04,"b'Most of the day is spent on what we did and what we will do, need to enjoy the present time! #ThePowerOfNow #PowerOfNow #BePresent'"
847117227639783426,2017-03-29 16:04:20,"b'Nostalgia is a funny thing, the most random experience triggers the most random memory. Life, what a beautiful experience!'"
846759141498482688,2017-03-28 16:21:26,"b""Month of March coming to an end already?! My goodness, time has its own schedule to keep. Doesn't wait for our schedule!! #2017 #march"""
846756246812176384,2017-03-28 16:09:55,b'Friends! Surround yourself with people and INFORMATION that lead you to a better version of yourself. Positivity in equals positivity out!!'
845385610193911808,2017-03-24 21:23:30,"b'So much power in a name, have always loved name ""Amar"" - immortal! Like the fig and the olive,contrast is forever lasting, friends! #bana'"
843859210441904128,2017-03-20 16:18:08,"b'We wish to live the life we love, we need to love the life we live... gratitude attracts more gratitude! Thankful for family and friends!!'"
841714166436048896,2017-03-14 18:14:30,"b""Hope all had an enjoyable #Holi ! Love how everyone's inner child comes out when the colors are in the picture. #HappyHoli #Holi2017"""
836291357396238336,2017-02-27 19:06:11,"b'Lose yourself in the service of others! Truly a great way to make a positive impact! Find yourself, by losing yourself for others! #GodBless'"
827285085002964992,2017-02-02 22:38:29,b'Differences are what make the world unique and beautiful. If we were all the same there would be no contrast! #StopHate #Loveyourneighbor'
