id,created_at,text
858120689638944768,2017-04-29 00:48:10,b'As I was saying .... https://t.co/HEdtaWSM3k'
857948739478204416,2017-04-28 13:24:54,"b""Friday's row. https://t.co/q3g7dKaApd"""
857776498484416512,2017-04-28 02:00:28,"b'Love, love, love ....  ""A Doll\'s House, Part 2"". Incredibly acted and, beautifully written. Bravo to all. https://t.co/pDmdvgrZJZ'"
857730802595057664,2017-04-27 22:58:53,b'Sneak peak of new vid from @russellcrowe &amp; my awesomely talented friend @SamanthaBarks from #igpthemusical album. P\xe2\x80\xa6 https://t.co/ylJhvARGu7'
857581667812335618,2017-04-27 13:06:17,"b""I will post as many vacation photos as I want! Really, who's going to stop me? (Rhetorical) https://t.co/D1l6IcEXiP"""
857353378808115200,2017-04-26 21:59:09,"b'@wecomefromaway is heartwarming, funny and clever. Awesome cast &amp; music. Thanks all. https://t.co/6B4A7okPqD'"
857209594405322753,2017-04-26 12:27:48,b'Deb and I have the post-vacation blues!!! @Deborra_lee https://t.co/Qc0RI4yrBG'
856854794446802944,2017-04-25 12:57:57,b'How do you pay the piper after vacation? #ROW https://t.co/Ek3470UKkP'
856627252544638977,2017-04-24 21:53:47,"b'To all the courageous men &amp; women who serve, we thank you for your service. @Deborra_lee #AnzacDay AnzacDay #LestWeForget'"
856524522538889216,2017-04-24 15:05:34,"b""I'm told the correct caption is .... VACATION VIBES! https://t.co/E4GV6Kxyqe"""
856469806278750209,2017-04-24 11:28:08,b'Watch this piece on @sherylsandberg from @CBSThisMorning. It might just change your life. #OptionB https://t.co/xWFUk7f6pW'
856131221771997184,2017-04-23 13:02:44,b'Tahiti! https://t.co/SwXFXrnVcm'
855501643034636289,2017-04-21 19:21:00,"b""We've lost a great man, a great friend and ... one of the greatest examples of a person loving and living life to t\xe2\x80\xa6 https://t.co/SdjJqq6Yi8"""
855384841948463104,2017-04-21 11:36:53,b'#allbehappy https://t.co/kNxUMK482v'
855051517589684224,2017-04-20 13:32:22,"b""The result of Mum's Creme Caramel. https://t.co/VNYSNhocrS"""
855035388741681152,2017-04-20 12:28:17,b'Thanks Mum! #ThrowbackThursday https://t.co/5MQXwJjNcS'
854328578749730817,2017-04-18 13:39:40,"b""You never know who you'll bump into in NYC! This is Christie ... we went to drama school together. https://t.co/T2389Gc5kc"""
853974933738860546,2017-04-17 14:14:24,b'Totem Poles in Vancouver. The workmanship is extraordinary. https://t.co/wQS7A2aO74'
853595560632352768,2017-04-16 13:06:55,b'Happy Easter https://t.co/6Be8NYS4Ib'
853375634818596864,2017-04-15 22:33:00,b'@DjokerNole No claws needed Mate! https://t.co/4oLAxpUpXt'
852873630409265153,2017-04-14 13:18:13,b'Check off the bucket list. One of the greatest meals ever. Thank you @Chef_Keller . #FrenchLaundry https://t.co/SFH0EdCOC4'
852490660787761153,2017-04-13 11:56:26,"b""#ThrowbackThursday to that day I had the privilege of riding shotgun in an F16 .... and didn't loose my breakfast. https://t.co/gUkaCYIHr3"""
852148918032924672,2017-04-12 13:18:28,b'Tennis anyone? And by anyone- I mean you @DjokerNole ! https://t.co/gwOCDbBlK3'
851769894110711808,2017-04-11 12:12:22,b'To the love of my life @Deborra_lee. 21 glorious years. I love you with all my heart. https://t.co/y1lv7CgQCB'
851607257062277120,2017-04-11 01:26:06,b'John Clarke. Legend. Friend. Colleague. Thank you. We are so much the better to have known you. @Deborra_lee'
851410919037042692,2017-04-10 12:25:56,b'You gotta admit ... my selfie classes are really paying off! https://t.co/fneNK31aok'
850894153013751808,2017-04-09 02:12:29,b'To cross. OR. Not to cross. CROSSED! https://t.co/lKMoBJlNLs'
850702848660733956,2017-04-08 13:32:19,b'Equality. @EmmaWatson @MTV https://t.co/O1JbuFK8QV'
850434987488923648,2017-04-07 19:47:55,"b'""Take It Easy"" - The Eagles https://t.co/zccSAf7B9y'"
850039028388962306,2017-04-06 17:34:31,"b'If you have ever created ANYTHING without an instruction booklet (or wanted to!) RUN DONT WALK to see ""Sunday in the Park With George""'"
849821289397309440,2017-04-06 03:09:18,b'With the extraordinary Jake and Annaleigh. Sunday in the Park With George. Bravo! https://t.co/HxFooGLUYB'
