id,created_at,text
858006922922004480,2017-04-28 17:16:06,b'Mujhe neend na aayeee... ho \xf0\x9f\x98\xb4 \n\n#theowlsong https://t.co/PjZM60USCB'
857954297119506434,2017-04-28 13:46:59,"b'RT @ADTSinghSharma: @ShirleySetia so nice to have met you little cutie, come see me soon .. love you \xe2\x9d\xa4 https://t.co/ChTh70w3pr'"
857953289660284931,2017-04-28 13:42:58,b'How would I survive without you @aayushmansinha!! Thank you for everyyything you do for me \xe2\x9b\x84\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
857902269563588609,2017-04-28 10:20:14,b'Zooomyyygoodnessgraciousme. \xf0\x9f\x98\xb3'
857676581514362880,2017-04-27 19:23:26,"b'Time; things will fall in place with time. Be patient, and let God steer your life.'"
857521446490226688,2017-04-27 09:06:59,b'Met this sweetheart yesterday. Such a strong inspiring lady! Love you @ADTSinghSharma \xe2\x9d\xa4\xef\xb8\x8f https://t.co/uynFFfDv7F'
857282351541497856,2017-04-26 17:16:54,"b""Calcutta! Can't wait to see you guys this Weekend! \xf0\x9f\x92\x95\n\nGet your tickets superrr soon! \xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\n\n@bookmyshow -\xe2\x80\xa6 https://t.co/6nTdCijNZc"""
857268502390087680,2017-04-26 16:21:52,b'Happy birthday @Sonamjha_26 \xf0\x9f\x8e\x82\xf0\x9f\x8e\x82 https://t.co/tMw30Nl4cy'
857254091197566976,2017-04-26 15:24:37,b'Afeemi hai yeh pyaarr... Sounds like a beautiful dream \xf0\x9f\x92\x95@JIGARSARAIYA @sachin1480 @SanahMoidutty https://t.co/4NSO3vTqAm'
857134066851819520,2017-04-26 07:27:40,b'RT @raiisonai: @ShirleySetia \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbbthank you rockstar'
857133875620966401,2017-04-26 07:26:55,b'Birthday aapka tha and gift aapne mujhe de diya! Thank you sooo so much @raiisonai \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x9d\xa4\xef\xb8\x8f will cherish this moment fo\xe2\x80\xa6 https://t.co/4VP91PydhV'
856894361136762880,2017-04-25 15:35:10,"b""Preppin away for MTV Bollyland! Guwahati'ans, I can't wait to see you all sooooonn \xf0\x9f\x99\x83 https://t.co/JRLZjhihSs"""
856892390975655938,2017-04-25 15:27:20,b'Tehehe \xf0\x9f\x90\xb1 https://t.co/98BTEjHZS3'
856781524955389952,2017-04-25 08:06:48,"b""Here's wishing my ultimate favouritestt, a very happy birthday! Thank you @raiisonai for inspiring so many of us to\xe2\x80\xa6 https://t.co/Pc6zSdEAtE"""
856587561401188355,2017-04-24 19:16:03,"b""Have you ever gone through this phase when you're unable to stop thinking about something but you know it's not in your control?"""
856550530960703488,2017-04-24 16:48:55,b'RT @aayushmansinha: Create your own luck. #MondayMotivation https://t.co/XD0v0ulYfu'
856516313484632065,2017-04-24 14:32:57,b'\xf0\x9f\x98\x98\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\xf0\x9f\x94\xa5 https://t.co/IO9Fc9wVLj'
856463772327714816,2017-04-24 11:04:10,b'Welcome the new sadassya in my zindagi. Hello there #AppleWatch \xf0\x9f\x98\xbb https://t.co/8D2q856ob8'
856145742930509829,2017-04-23 14:00:26,b'RT @TheLostStories: Thanks Swirley \xe2\x9d\xa4\xef\xb8\x8f https://t.co/UaMhZ6Ai4C'
856040780397297664,2017-04-23 07:03:21,"b""And it's out at last \xf0\x9f\x94\xa5\n\nCheck out @TheLostStories remix of @IAmAlanWalker's Alone \xe2\x99\xa5\xef\xb8\x8f\n\nThe fluteeee in it is \xf0\x9f\x98\xbb\xf0\x9f\x98\xbb\n\nhttps://t.co/Mgv2i8v2HR"""
856019140649271296,2017-04-23 05:37:21,"b""Wheeeeeeee!! It's going to be epiccc \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb\xe2\x98\xba\xef\xb8\x8f\xf0\x9f\x91\xbd https://t.co/yYczuEbqvB"""
855901899467268096,2017-04-22 21:51:29,b'RT @aayushmansinha: Check out my hustle till date! Share/RT if you think it makes sense! \n\nWatch : https://t.co/Kb0FLjI58t https://t.co/nuN\xe2\x80\xa6'
855860899428450304,2017-04-22 19:08:34,b'What is love?'
855763957956653057,2017-04-22 12:43:21,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 maha fail ho gaya yeh toh \xf0\x9f\x99\x88 https://t.co/JYI9TKWUeH'
855763549666381824,2017-04-22 12:41:44,"b""Tehehe \xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\xf0\x9f\x95\xba\xf0\x9f\x8f\xbb\xf0\x9f\x95\xba\xf0\x9f\x8f\xbb you're awesome!! Thankyou \xf0\x9f\x98\x81 https://t.co/EK07yIwWcI"""
855763353914011655,2017-04-22 12:40:57,b'RT @MANJmusik: Very proud of this girl @shirleysetia for all she has accomplished! Big up\xe2\x80\xa6 https://t.co/EX44I2qUGj'
855763314428784640,2017-04-22 12:40:48,b'@MANJmusik Was such a pleasure to meet you too \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x83 thank you so muchh'
855692679031779328,2017-04-22 08:00:07,b'@ArmaanMalik22 @Sanam_Official Lol that picture with the dude in his sunglasses is photobombing your picture \xf0\x9f\x98\x9d'
855397773755240448,2017-04-21 12:28:16,"b""Celebrating @akprojekts' birthday with @raftaarmusic &amp; @MANJmusik \xf0\x9f\x8e\x82\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb\xf0\x9f\x95\xba\xf0\x9f\x8f\xbb https://t.co/ce84PmuyK3"""
855290713843441664,2017-04-21 05:22:51,"b""Ohmylord \xf0\x9f\x98\x82\xf0\x9f\x98\x82 haven't laughed like this in a few days! Insane \xf0\x9f\xa4\xa3 https://t.co/JQTL4O8ICz"""
855207630884786176,2017-04-20 23:52:42,"b'Should have slept 2 hours ago, but 2 hours later here I am... living life, owl size \xf0\x9f\xa6\x89'"
855175370437521408,2017-04-20 21:44:31,b'Can finally call it a day \xf0\x9f\x92\xa4 https://t.co/qpk0iqJpUz'
