id,created_at,text
858034307616657408,2017-04-28 19:04:55,"b""T 2508 - ... and the show goes on .. 34 years of 'MAHAAN', my first triple role .. !! https://t.co/XcAdcMND6J"""
857682411810951170,2017-04-27 19:46:36,"b'T 2507 - \xe0\xa4\x86\xe0\xa4\xa6\xe0\xa4\xb0 \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xa8\xe0\xa5\x87\xe0\xa4\xb9 \xe0\xa5\xa4\xe0\xa5\xa4\xf0\x9f\x99\x8f \xe0\xa4\x86\xe0\xa4\x9c \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xa8, \xe0\xa4\x9c\xe0\xa4\xac 48 \xe0\xa4\xb5\xe0\xa4\xb7\xe0\xa5\x94 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\xac\xe0\xa4\x82\xe0\xa4\xa7 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\x85\xe0\xa4\x97\xe0\xa5\x8d\xe0\xa4\xa8\xe0\xa4\xbf \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x8d\xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xad\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xae \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x88, \xe0\xa4\xa4\xe0\xa5\x8b \xe0\xa4\x86\xe0\xa4\xaa\xe0\xa4\x95\xe0\xa5\x80 (cont) https://t.co/RDcgZmjlc7'"
857298239233466368,2017-04-26 18:20:02,"b'RT @ashokmistry4545: ""\xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb7 \xe0\xa4\xa8\xe0\xa4\x97\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\xa4\xe0\xa4\xac \xe0\xa4\xa4\xe0\xa4\x95 \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\x97\xe0\xa4\xbe\n\xe0\xa4\x9c\xe0\xa4\xac \xe0\xa4\xa4\xe0\xa4\x95 \xe0\xa4\x9c\xe0\xa4\xa8\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\x89\xe0\xa4\xa8\xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xab \xe0\xa4\xb9\xe0\xa5\x88...!!!\n@SrBachchan ""\xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0""Fantastic\xf0\x9f\x91\x8c\xf0\x9f\x92\xaa #Sarkar3OfficialTrailer2 \n ht\xe2\x80\xa6'"
857298143460728833,2017-04-26 18:19:39,"b""RT @ashokmistry4545: #Sarkar3OfficialTrailer2 Amitabh Bachchan 's powerful act keeps you hooked throughout. @SrBachchan link\xe2\xa4\xb5\n https://t.co\xe2\x80\xa6"""
857298101286993924,2017-04-26 18:19:29,b'RT @Thekkapoor: T 1665 - Watch: @SrBachchan is the undisputed godfather in second trailer of  #sarkar3. Retweet if you like it !! \n https:/\xe2\x80\xa6'
857297948949991424,2017-04-26 18:18:53,"b'RT @ashokmistry4545: ""\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x86\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\x97\xe0\xa4\x8f...\xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x88..\xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb2\xe0\xa5\x87\xe0\xa4\x97\xe0\xa4\xbe...\xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x9c\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa4\xbe\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xa6...\xe0\xa4\x97\xe0\xa5\x8b\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbe \xe0\xa4\x97\xe0\xa5\x8b\xe0\xa4\xb5\xe0\xa4\xbf\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa6\xe0\xa4\xbe.. #Sarkar3OfficialTrailer2 @SrBac\xe2\x80\xa6'"
857297812920217600,2017-04-26 18:18:21,"b""RT @ashokmistry4545: Sarkar is back &amp; this time he's angrier than ever! Watch #Sarkar3OfficialTrailer2 \n@SrBachchan @TheAmitSadh \n https://\xe2\x80\xa6"""
857297751612116992,2017-04-26 18:18:06,"b""RT @ashokmistry4545: 'Kitne aaye aur kitne gaye' But SARKAR @srbachchan will be there forever! #Sarkar3OfficialTrailer2 Agree then RT https\xe2\x80\xa6"""
857297705063694336,2017-04-26 18:17:55,b'RT @ashokmistry4545: Catch High-Octane Glimpses From The Year\xe2\x80\x99s Action-Packed Cult Film #Sarkar3OfficialTrailer2 Out Now  https://t.co/t5fI\xe2\x80\xa6'
857297625548062720,2017-04-26 18:17:36,b'RT @prashantkawadia: @SrBachchan #Sarkar3 trailer 2 is outstanding'
