id,created_at,text
858374124011270145,2017-04-29 17:35:13,"b""A 'stranglehold' on the data that could help explain political extremism https://t.co/Jgu4O8gNYb https://t.co/6U0KHQjWA1"""
858293646411669504,2017-04-29 12:15:26,b'Doubts about whether internet filters protect teenagers online @oiioxford  https://t.co/N2jf6nXhVG https://t.co/w4YEr0cO6X'
858274980974522368,2017-04-29 11:01:16,b'Women in Science: Brightening the conservation conversation https://t.co/28QaYjMwsx https://t.co/Gpzfb6CM24'
858264657626378240,2017-04-29 10:20:14,"b'UK employment tribunal fees deny workers access to justice, says study https://t.co/FDtbCb7THs https://t.co/iIiWXiPU2S'"
858233238933958656,2017-04-29 08:15:24,"b'Find out more about @oxbotica  founder, Professor Paul Newman in this interview here https://t.co/99ulRa11I6 https://t.co/bObBMkYVGj'"
858003489934516225,2017-04-28 17:02:27,"b'Social media bots endanger democracy, warns Oxford\xe2\x80\x99s internet research chief https://t.co/aMJICxK2dG https://t.co/BlUzuOIt3y'"
857978783885864960,2017-04-28 15:24:17,b'RT @OxfordSparks: A new method has been developed for observing the effects of drugs on heart cells under the microscope https://t.co/RTahh\xe2\x80\xa6'
857978769042288642,2017-04-28 15:24:13,b'RT @StEdmundHall: BOOKING NOW OPEN for this special celebratory dinner in support of The Matt Greenwood Travel Scholarships. https://t.co/X\xe2\x80\xa6'
857978070657101824,2017-04-28 15:21:27,b'RT @keitoxford: #StartedinOxford https://t.co/6tuc4aWVqL'
857962734377422850,2017-04-28 14:20:30,b'\xe2\x80\x98Strong leadership needed for Brexit\xe2\x80\x99: How will voters respond? https://t.co/S2v7BZbJko #GeneralElection https://t.co/UVVSKn3IGH'
857957306742571008,2017-04-28 13:58:56,"b'RT @OxfordGradStudy: May Morning. Centuries-old tradition. Busy streets at 6am. Magdalen Choir. Go, or see this film - thanks @OxfordCity h\xe2\x80\xa6'"
857944611184160768,2017-04-28 13:08:29,b'RT @Africa_Oxford: Our website is Live!\nCheck it out at &gt; https://t.co/xTBF4bJTyR\n#OxfordAfrica https://t.co/8nSq6kLzHa'
857944527532949504,2017-04-28 13:08:09,b'RT @OxfordSparks: The mathematics of why our grandmothers love us! https://t.co/A26BbBnNna https://t.co/zBDEKxmfay'
857944507924578304,2017-04-28 13:08:05,b'RT @oxford_thinking: How #Oxford hopes to save the swift: a symbol of the eternal quest for knowledge &amp; adventure https://t.co/fPmYrYo7R7 h\xe2\x80\xa6'
857928712918118400,2017-04-28 12:05:19,"b""'It's an extraordinary time from a demographic point of view' \xe2\x80\x93 Prof Sarah Harper on ancient and modern populations\xe2\x80\xa6 https://t.co/PWM6lXY2K3"""
857897514552393730,2017-04-28 10:01:21,"b'We need to talk about \xe2\x80\x98cut-and-paste\xe2\x80\x99 genome editing, warns pioneer https://t.co/TUuPchTL3n https://t.co/9vwaWURVUO'"
857883380225941504,2017-04-28 09:05:11,"b'.@ousunews  invites you &amp; your community to Springtide: The Oxford Community Festival, with free entry on April 30t\xe2\x80\xa6 https://t.co/PQUpBeYBlG'"
857646843571908608,2017-04-27 17:25:16,b'On-the-go DNA sequencing anywhere from @nanopore https://t.co/O7ZwF1u77H #StartedinOxford @OxfordChemistry https://t.co/KnEC2jPcFW'
857642520293113856,2017-04-27 17:08:05,b'@BernardoGrando We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857642496096075777,2017-04-27 17:07:59,"b'@BernardoGrando Oxford deeply values and works hard to support students and staff with disabilities, including thos\xe2\x80\xa6 https://t.co/qEkZ5SmPzr'"
857642461593817090,2017-04-27 17:07:51,b'@BernardoGrando We are sorry that we took no account of other reasons for difference in eye contact and social inte\xe2\x80\xa6 https://t.co/uz7EvPI3XI'
857642362868305921,2017-04-27 17:07:28,b'@Kirathehandman We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857642337945755648,2017-04-27 17:07:22,"b'@Kirathehandman Oxford deeply values and works hard to support students and staff with disabilities, including thos\xe2\x80\xa6 https://t.co/nLMvVt3Q1z'"
857642309000675328,2017-04-27 17:07:15,b'@Kirathehandman We are sorry that we took no account of other reasons for difference in eye contact and social inte\xe2\x80\xa6 https://t.co/BUivTMIBXp'
857642175919730693,2017-04-27 17:06:43,b'@PrisonPlanet We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857642152184217603,2017-04-27 17:06:37,"b'@PrisonPlanet Oxford deeply values and works hard to support students and staff with disabilities, including those\xe2\x80\xa6 https://t.co/a9YYreb6jh'"
857642123520344064,2017-04-27 17:06:31,b'@PrisonPlanet We are sorry that we took no account of other reasons for difference in eye contact and social intera\xe2\x80\xa6 https://t.co/XUfkpqWcjC'
857642003584122880,2017-04-27 17:06:02,b'@SSG_Davis_Ret We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857641978737176576,2017-04-27 17:05:56,"b'@SSG_Davis_Ret Oxford deeply values and works hard to support students and staff with disabilities, including those\xe2\x80\xa6 https://t.co/l9OGPzwmJf'"
857641946923270144,2017-04-27 17:05:49,b'@SSG_Davis_Ret We are sorry that we took no account of other reasons for difference in eye contact and social inter\xe2\x80\xa6 https://t.co/RSnlutgQhu'
857641821425594369,2017-04-27 17:05:19,b'@QLMentoring We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857641795135602689,2017-04-27 17:05:12,"b'@QLMentoring Oxford deeply values and works hard to support students and staff with disabilities, including those w\xe2\x80\xa6 https://t.co/36KUU7J3aI'"
857641764424994817,2017-04-27 17:05:05,b'@QLMentoring We are sorry that we took no account of other reasons for difference in eye contact and social interac\xe2\x80\xa6 https://t.co/FaM0rbHBzl'
857641675031810050,2017-04-27 17:04:44,b'@CreweCitizen @tele_education We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857641641880039424,2017-04-27 17:04:36,"b'@CreweCitizen @tele_education Oxford deeply values and works hard to support students and staff with disabilities,\xe2\x80\xa6 https://t.co/skiwQCdg7N'"
857641611068665857,2017-04-27 17:04:28,b'@CreweCitizen @tele_education We are sorry that we took no account of other reasons for difference in eye contact a\xe2\x80\xa6 https://t.co/mF32sgcvAi'
857641549148172289,2017-04-27 17:04:14,b'@IsMiseMick @tele_education We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
857641528516333568,2017-04-27 17:04:09,"b'@IsMiseMick @tele_education Oxford deeply values and works hard to support students and staff with disabilities, in\xe2\x80\xa6 https://t.co/KCjDB8LKUt'"
857641502587203584,2017-04-27 17:04:03,b'@IsMiseMick @tele_education We are sorry that we took no account of other reasons for difference in eye contact and\xe2\x80\xa6 https://t.co/4GM59z2Yig'
857639871560679424,2017-04-27 16:57:34,b'@CCBK666 We made a mistake. Our newsletter was too brief to deal adequately and sensibly with the issue.'
