id,created_at,text
858173084582395904,2017-04-29 04:16:22,b'https://t.co/XTetRoUhHi https://t.co/pqXTbgPbcc'
857505369051901952,2017-04-27 08:03:06,"b'RT @IntelITCenter: At the #NABShow @intel booth, attendees can enjoy a full-motion cinematic VR experience of @ARRahman\'s ""LeMusk."" https:/\xe2\x80\xa6'"
857504935595753472,2017-04-27 08:01:22,"b'RT @IntelITCenter: ""LeMusk"" by @arrahman is a movie with sensory experiences like no other. Preview it with #VR at #NABShow: https://t.co/4\xe2\x80\xa6'"
857307556166815744,2017-04-26 18:57:04,"b'Excited to be working with Jacqueline Cao of Samsung on the release of ""Le Musk"" prelude on Samsung VR. Catch it on\xe2\x80\xa6 https://t.co/RlN3hvv7W7'"
857273970512547840,2017-04-26 16:43:36,b'Unveiling the posters of Le Musk https://t.co/1nGt2f7W3O'
856702390942093312,2017-04-25 02:52:21,b'Thank you @wilfriedgalaxy for your support on @LeMuskTheFilm'
856701844495646720,2017-04-25 02:50:11,b'Thank you Dave Black @mixedimmersion for supporting @LeMuskTheFilm'
856701143098900480,2017-04-25 02:47:23,b'Thank you Grace Boyle for your support on @LeMuskTheFilm'
856699579751735296,2017-04-25 02:41:11,b'Thank you for your kind words Sunil...There are a million different requests out there...\n\nOne has to be honest... https://t.co/ZaGKNLBZ93'
856689108269154304,2017-04-25 01:59:34,"b""Check out the prelude to 'Le Musk' at the Intel booth @ NAB, Las Vegas https://t.co/e4SBpR1NNH"""
856673634902917120,2017-04-25 00:58:05,b'Thank you Zilvermeer Production for supporting @LeMuskTheFilm'
856668182634872832,2017-04-25 00:36:25,b'Thank you @Auro3D for the support on @LeMuskTheFilm'
856667806124748800,2017-04-25 00:34:55,b'Thank you @radiantimages for all the support on @LeMuskTheFilm'
856665595508531201,2017-04-25 00:26:08,b'Thank you @gopositron for the fascinating experience working on @LeMuskTheFilm'
856657941885091840,2017-04-24 23:55:43,b'Sincere Thanks to Ravindra Velhal &amp; Narayanan Sundararajan @intel for the passionate support on @LeMuskTheFilm'
856656823222321152,2017-04-24 23:51:17,b'Thank you Shaji Nada &amp; Ramanan Muthulingam @idealentinc for your support on @LeMuskTheFilm'
856648864450846720,2017-04-24 23:19:39,b'Thanks @ThenandalFilms for supporting @LeMuskTheFilm'
856592344245776384,2017-04-24 19:35:04,b'Live from the Intel booth @ NaB https://t.co/N8NbZSbqRA'
856590871621505026,2017-04-24 19:29:13,b'From the Intel booth @ NAB! https://t.co/Z5BqXETnfl'
856585344548048896,2017-04-24 19:07:15,b'I posted a new video to Facebook https://t.co/qoQ7LuwE8O'
856570746046472195,2017-04-24 18:09:14,b'I posted a new video to Facebook https://t.co/qxWpVL9HuU'
856504170332905477,2017-04-24 13:44:41,"b""Here's the 1st song of @SachinTheFilm, my tribute to one of the greatest son of the soil @sachin_rt. Happy Birthday!https://t.co/5dL2b5oylo"""
