id,created_at,text
852574304931852289,2017-04-13 17:28:49,"b'Just saw the trailer of @SachinTheFilm, eagerly waiting for the release. \xf0\x9f\x98\x8a Congrats Paaji! \n#SachinTrailer : https://t.co/OQzdEaT8QM'"
852514158486605825,2017-04-13 13:29:48,b'Good luck @daruvalajehan for your @fiaf3europe debut. Bring home some more silverware. 30 races.. 30 podiums.. No pressure :) Make us proud!'
850603433686183936,2017-04-08 06:57:16,"b""Here's to the breakaway team! \xf0\x9f\x91\x8d\xf0\x9f\x94\x9d @RCBTweets @StayWrogn #RCBvsDD #IPL10 https://t.co/8ZkcjEy1CG"""
850303826435297281,2017-04-07 11:06:44,b'Take on the world. Then make it yours. @PUMA https://t.co/UiBNIV64zb https://t.co/tgijpKTtt4'
850235503899164672,2017-04-07 06:35:15,b'Shoot time. Driving the boys around. \xf0\x9f\x98\x8e\xf0\x9f\x99\x88\xf0\x9f\x98\x82. Ah love these moments. \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d https://t.co/y7AdwU56l9'
849962173766021120,2017-04-06 12:29:08,b'Great session today with the best in the world. Progress going well &amp; on course to come back soon &amp; entertain every\xe2\x80\xa6 https://t.co/WdGUCUci5G'
849862271782277121,2017-04-06 05:52:09,b'Watch me leave a tread where there isn\xe2\x80\x99t one #TreadAnywhere with the #MRFWanderer\nhttps://t.co/Gic6hB7EgX'
849528226095476736,2017-04-05 07:44:47,"b""The trick is to make the best of every minute and although the minutes are not mine today, it'll definitely be your\xe2\x80\xa6 https://t.co/bRSYGcAzla"""
849192795889963008,2017-04-04 09:31:54,b'The spirit of Cricket Selfie. Let the best league in the world commence \xf0\x9f\x98\x8a\xf0\x9f\x91\x8d\xf0\x9f\x91\x8c. #IPL10 #SpiritOfCricket https://t.co/ayYHW8cWCT'
848904580788350977,2017-04-03 14:26:38,b'Back with the Boss Mr. Shankar Basu. Always good seeing the guy who transformed my fitness totally. \xf0\x9f\x91\x8c\xf0\x9f\x94\x9d https://t.co/lHCCTCzb5T'
848549782629036035,2017-04-02 14:56:48,"b""What a day in our lives. One I can never forget. 02/04/2011 is engraved in my and every Indian's heart forever. Jai\xe2\x80\xa6 https://t.co/SNeenzI4hJ"""
848424440354529280,2017-04-02 06:38:44,b'Unconditional love \xf0\x9f\x98\x8d\xf0\x9f\x90\xb6\xf0\x9f\x90\xb6\xf0\x9f\x98\x8d. Thanks for the concern and the wishes people. Keep supporting @RCBTweets for a strong star\xe2\x80\xa6 https://t.co/d0vtigDk9u'
848166765775523840,2017-04-01 13:34:49,b'Thanks to this gem of a human being for working so hard with the injury. Works tirelessly and never complains. Than\xe2\x80\xa6 https://t.co/IzihSFhdTz'
848049044345769984,2017-04-01 05:47:02,b'@Twitter Feels fantastic. \xf0\x9f\x98\x80 https://t.co/XqeO6DU0ki'
848046086136766464,2017-04-01 05:35:17,b'@hardikpandya7 Thanks Pandya.. Take care and feel better. \xf0\x9f\xa4\x97'
848045891621711872,2017-04-01 05:34:31,"b""@cheteshwar1 Thanks Puji.. Enjoy this little break, you've earned it. \xf0\x9f\x98\x87"""
848045463328747520,2017-04-01 05:32:49,b'@MishiAmit Thanks Mishi. \xe2\x98\xba\xef\xb8\x8f'
847724900416503808,2017-03-31 08:19:00,b'Come join me in #Selfiestan starting today with Gionee A1 and start clicking super selfies. #BeA1 \xf0\x9f\x98\x89\xe2\x80\xa6 https://t.co/U9CRrsN4ST'
847712374614179842,2017-03-31 07:29:14,"b'@harbhajan_singh thank you Bhajju Paa, see you soon \xf0\x9f\x98\x80'"
847712026088554497,2017-03-31 07:27:51,b'@Pvsindhu1 thank you for the wishes. \xf0\x9f\x99\x82'
847711861558489092,2017-03-31 07:27:12,"b'@BCCI Thank you, it is indeed an honor. \xf0\x9f\x98\x87'"
847711552123711488,2017-03-31 07:25:58,b'@klrahul11 Thanks bro \xf0\x9f\x98\x8a'
847711433949298688,2017-03-31 07:25:30,b'@SDhawan25 Thanks Jatt Ji \xf0\x9f\x98\x8a'
847711205326176256,2017-03-31 07:24:35,"b'@ashwinravi99 Thanks Ash, looking forward for more Padma Shris in the team. \xf0\x9f\x98\x89'"
847456321666293760,2017-03-30 14:31:46,"b""What an absolute honor and a memorable day to receive the Padma Shri award from the President of India. God's been\xe2\x80\xa6 https://t.co/1zOb9EZ3we"""
847374668143120384,2017-03-30 09:07:19,"b""Help @VOSD1 bring home 100 #PatriotDogs! They spend their lives serving us, it's time to do something for them.\xe2\x80\xa6 https://t.co/PkAwAEwC1i"""
847295042226077697,2017-03-30 03:50:54,"b""2/2only a couple of individuals.I continue to be in good terms with the few guys I know &amp; who I've played with at RCB &amp; that doesn't change."""
847294937041313792,2017-03-30 03:50:29,b'1/2 My answer at the post match conference has been blown way out of proportion. I did not categorically say the whole Australian team but'
847030883194425344,2017-03-29 10:21:14,b'Really happy and delighted to see the grit and determination of this guy. Well done Puji @cheteshwar1 for an outsta\xe2\x80\xa6 https://t.co/UhfxCLJjGf'
846753408908447744,2017-03-28 15:58:39,b'RT @StayWrogn: Good to be back on top. https://t.co/A9OykKr66Q'
846666674057052160,2017-03-28 10:14:00,b'Proud to be a part of this group. Outstanding effort to win this game &amp; the series. Jai Hind \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 https://t.co/9lTnkiig7i'
844921933036687360,2017-03-23 14:41:01,"b""RT @MuveAcoustics: Don't look back you're not going that way. #MuveAcoustics #SoundThatInspires #artbasel https://t.co/MUNUTYyHDp"""
844117336508551169,2017-03-21 09:23:50,b'Off to Dharamshala for the last one. With the bowling machine \xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\x98\x8e\xf0\x9f\x9b\xab @imjadeja https://t.co/OAG8Kgh57B'
841916508104196097,2017-03-15 07:38:32,b'Guess where we went Wrogn\xc2\xa0this season! An all-new collection of breakaway\xc2\xa0youth fashion is now available at Jabong\xe2\x80\xa6 https://t.co/Vi9kKUv0dl'
841172435886063616,2017-03-13 06:21:51,b'Happy Holi everybody. Have a great day today \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x98\x87. Please make sure no harm is done to the animals on the streets. G\xe2\x80\xa6 https://t.co/zP3sItQZIu'
841164507409969153,2017-03-13 05:50:21,b'Have a very Happy and a Safe #Holi everyone. Please take care of the silent ones. #HappyHoli #SafeHoli https://t.co/pn7Upm8xJM'
840859283558395904,2017-03-12 09:37:30,b'#CISF always makes sure of safe &amp; smooth Airport arrivals &amp; departures for me. Thank u @CISFHQrs for always steppin\xe2\x80\xa6 https://t.co/vMLOrWkEls'
840460245101080576,2017-03-11 07:11:52,"b""About last night at this cool new spot in Delhi called 'Nueva' with the super chef Mr @TheMichaelSwamy. Loved the f\xe2\x80\xa6 https://t.co/U1aNIFyNhy"""
840129387932483584,2017-03-10 09:17:09,b'Detox at home \xf0\x9f\x98\x83\xf0\x9f\x91\x8c. Love it \xf0\x9f\x94\x9d\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf https://t.co/UvgJgF5g2F'
840092106664296448,2017-03-10 06:49:01,b'Congratulations @Herbalife on stepping up to start the R&amp;D operations in India. \xf0\x9f\x91\x8d'
