id,created_at,text
856950731148058624,2017-04-25 19:19:10,b'RT @lucyhale: @MileyCyrus mamasita i heart you too!'
856950611358748672,2017-04-25 19:18:41,b'RT @lucyhale: \xf0\x9f\x92\x9a https://t.co/bwgcRHxg8W'
856950601455939584,2017-04-25 19:18:39,b'RT @lucyhale: Highlighter couch time w/ @Refinery29 https://t.co/DVDg6evupo'
856950580199268352,2017-04-25 19:18:34,b'RT @lucyhale: Hepburn and me. https://t.co/P7XGyjY4C2'
856950559311638529,2017-04-25 19:18:29,"b""RT @GMA: 'Hannah Montana' premiered on the @DisneyChannel on this day 11 years ago. #11yearsofHannahMontana https://t.co/4ucTCnwwh2"""
856950489975595009,2017-04-25 19:18:12,b'RT @bellathorne: When I look at you my world starts spinning \xe2\x9c\xa8'
856950475345854464,2017-04-25 19:18:09,b'RT @madisonpettis: bb girl @TorriWebster came for a visit \xf0\x9f\x8c\xbb\xf0\x9f\x92\x9b https://t.co/8Gy9F95Kiu'
856950464457441285,2017-04-25 19:18:06,"b""RT @KekePalmer: I used to think about immature things, like do you love me? Is you gon' call me like you said you would .. \xf0\x9f\xa4\x94 https://t.co/d\xe2\x80\xa6"""
856950450104520704,2017-04-25 19:18:03,b'RT @madisonpettis: Mondaze https://t.co/b3x489ShYM'
856950407159050245,2017-04-25 19:17:53,b'RT @KekePalmer: #WindUp https://t.co/xtuuwzRSa8'
856950388918034433,2017-04-25 19:17:48,b'RT @kirakosarin: Sunday fun day \xf0\x9f\x8c\x9e https://t.co/ZhXQ3Wx6AG'
856950362758139906,2017-04-25 19:17:42,"b'RT @VictoriaJustice: Just an alien whose spaceship landed in the desert, looking for a certain music festival &amp; a good time. Check my insta\xe2\x80\xa6'"
856950345657921538,2017-04-25 19:17:38,"b'RT @VictoriaJustice: Amid the rocky terrain, the alien discovers a house of mirrors. Shall she explore further? \xf0\x9f\x91\xbd\xf0\x9f\x8c\xb5\xe2\x9b\xb0 https://t.co/AbppFmVBBE'"
856950273717264384,2017-04-25 19:17:21,b'RT @1061BLI: #BLISummerJam special guest @MileyCyrus is going to be in the new #GuardiansOfTheGalaxy! Win tix to the movie with @OnAirOlivi\xe2\x80\xa6'
856950260706533376,2017-04-25 19:17:18,b'RT @mileysbae: Miley Cyrus fans are so iconic https://t.co/ANRjkstsyd'
856950242239033345,2017-04-25 19:17:13,b'RT @Zendaya: Let me stop being messy\xf0\x9f\x98\x82'
856950208726478848,2017-04-25 19:17:05,"b""RT @AcoPensal: Ok. @MileyCyrus we're waiting for you! Come back to social media!!!"""
856950171002908673,2017-04-25 19:16:56,"b""RT @KekePalmer: Don't talk to her like she famous, and don't assume cause she don't respect assumptions babe.. She just tryna connect to so\xe2\x80\xa6"""
856950130141999107,2017-04-25 19:16:47,b'RT @bellathorne: When bae visits set @JODYHiGHROLLER https://t.co/b8cw4NoiH5'
856950112731443201,2017-04-25 19:16:42,"b""RT @bellathorne: I don't hate anything in life hate is a strong word\xe2\x9c\xa8"""
856950100400250881,2017-04-25 19:16:39,b'RT @mileysfweak: literally a legend https://t.co/Y9R0AL8cdR'
856950090673651712,2017-04-25 19:16:37,"b'RT @billboard: 10. @MileyCyrus ""Wrecking Ball"" | 100 #GreatestChoruses https://t.co/pUPYerdexJ https://t.co/m3fQbOU8Ry'"
856950077482569731,2017-04-25 19:16:34,"b""RT @MikeAdamOnAir: #AvrilLavigne, #MileyCyrus, #KatyPerry &amp; #LadyGaga are the only ppl to appear TWICE on Billboard's 100 Greatest Choruses\xe2\x80\xa6"""
856950066602541058,2017-04-25 19:16:31,"b'RT @billboard: Don\'t miss Miley Cyrus voicing a robot in ""Guardians of the Galaxy Vol. 2"" https://t.co/DbXA7IacQT / via @SPIN https://t.co/\xe2\x80\xa6'"
856950049745645568,2017-04-25 19:16:27,"b""RT @papermagazine: .@MileyCyrus's cameo appearance is the only reason to go see this superhero flick: https://t.co/e2nQz0k3S0 https://t.co/\xe2\x80\xa6"""
856950038139990017,2017-04-25 19:16:25,"b""RT @MileyCyrus: those tweets in your drafts.... that's who you really are."""
856949907500003329,2017-04-25 19:15:53,b'RT @Musicnews_feed: Yes Miley! https://t.co/sxFQvOgtxH'
856949891762991104,2017-04-25 19:15:50,"b'RT @peta: Happy #WorldPenguinDay \xf0\x9f\x90\xa7\xe2\x9d\xa4\xef\xb8\x8f RT if you think penguins deserve to be free, not in captivity. https://t.co/GwkAzZiuBI'"
856949877581938691,2017-04-25 19:15:46,"b""RT @AcoPensal: Boys can wear girls' clothes. Girls can wear boys' clothes. Stop stereotypes. #WeAreAllTheSame"""
856949852634218496,2017-04-25 19:15:40,b'RT @KekePalmer: Robbins made. #muddville https://t.co/Byvbgb9Uva'
856561891510018048,2017-04-24 17:34:03,"b""RT @ColeLedford11: Homophobia has no place in our schools or anywhere else. I'm proud to support @GLSEN's #DayofSilence and LGBTQ+ youth to\xe2\x80\xa6"""
856561839848779776,2017-04-24 17:33:51,"b""RT @AcoPensal: if you're a boy &amp; love a girl,if you're a boy &amp; love a boy,if you're a girl &amp; love a boy,if you're a girl &amp; love a girl,it's\xe2\x80\xa6"""
