id,created_at,text
835215500619595776,2017-02-24 19:51:07,"b'Honored to narrate this video from @ET_AIDS_FDN highlighting the powerful activism of my hero, @ElizabethTaylor!\xe2\x80\xa6 https://t.co/QDWwBb8cgA'"
835213579099918336,2017-02-24 19:43:29,b'https://t.co/JXK2yf61dn'
834509639534288896,2017-02-22 21:06:17,b'RT @HRC: BREAKING: Trump Administration to rescind protective guidance for #transgender students #ProtectTransKids https://t.co/1gWUcqVfoP\xe2\x80\xa6'
834442285538373632,2017-02-22 16:38:38,b'RT @HRC: #AM_Equality: Trump plan to rescind transgender student guidance likely happening TODAY #ProtectTransKids https://t.co/EtGxXMpruR'
832741941028614144,2017-02-18 00:02:04,b'\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96 https://t.co/0WBoNe6S6N'
832662783841886211,2017-02-17 18:47:32,b'RT @happyhippiefdn: Dear TX Leaders: a letter from @mileycyrus &amp; many of our friends speaking out for equality. Add your name at https://t.\xe2\x80\xa6'
831966325945692160,2017-02-15 20:40:03,"b""RT @happyhippiefdn: Many of u did the #IceBucketChallenge &amp; we're still fighting to end ALS! Support our friend @MariWinsor battling ALS ht\xe2\x80\xa6"""
831536474738692096,2017-02-14 16:11:59,b'.@lavernecox will you be our Valentine? \xe2\x9d\xa4\xef\xb8\x8f https://t.co/zvP4h1lYPR'
831536002787258368,2017-02-14 16:10:06,"b""Have a Happy Hippie Valentimezzzzz! TBTuesday to my date night with @tywrent!!!!!! It's all about L-O-V-E everyday.\xe2\x80\xa6 https://t.co/NRwCdYh6cE"""
827262800284127232,2017-02-02 21:09:56,b'\xf0\x9f\x8c\x8f\xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\x8c\x8e\xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\x8c\x8e\xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\x8c\x8e\xe2\x9c\x8c\xef\xb8\x8f https://t.co/ir8Jt3yUkr'
826603679645999104,2017-02-01 01:30:49,b'RT @glaad: What a Justice Neil Gorsuch would mean for #LGBTQ Americans https://t.co/ynYL5Z19PP'
826197498268000256,2017-01-30 22:36:48,b'Get it girl! @noahcyrus #Fallon tonight https://t.co/3hF0I8qojm'
825785788734398464,2017-01-29 19:20:49,"b""I HOPE this little baby runs for Prez! #MaliaForPresident You've got my Vote!!!!! @happyhippiefdn \xe2\x9d\xa4\xef\xb8\x8fs Malia Obama! https://t.co/uPT6xCJ65d"""
825449905338454016,2017-01-28 21:06:08,b'\xe2\x9d\xa4\xf0\x9f\x92\x9b\xf0\x9f\x92\x99\xf0\x9f\x92\x9a https://t.co/LhYmxPLdNE'
824416614741209088,2017-01-26 00:40:12,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x92\x9c https://t.co/nk06VObNJD'
824304361652129792,2017-01-25 17:14:09,b'Best. Moment. EVER. @happyhippiefdn @Janefonda \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a\xf0\x9f\x92\x9b\xf0\x9f\x92\x9c\xf0\x9f\x92\x99 https://t.co/Redp0RWgXu'
824021313245220865,2017-01-24 22:29:25,b'RT @BauervanStraten: Thank U @MileyCyrus 4 helping me raise funds 4 @PPact w/ this tshirt!!! #whyimarch - 2 get a limited edition  go2 http\xe2\x80\xa6'
823274872881090560,2017-01-22 21:03:20,"b""LA women's March https://t.co/CQECdPza6c"""
822944999486550016,2017-01-21 23:12:32,b'.@happyhippiefdn @womensmarch @womensmarchla #womensmarchla #WMLA #whyimarch #hearourvoice #hh4pp https://t.co/hEyG61So60'
820363791531524097,2017-01-14 20:15:44,b'.@MERRYJANE hooked it up! Wowzyyyyyyyy! Thanks Uncle @SnoopDogg for being such a dope ganja innovator https://t.co/yPXpoCp2hT'
819070243553218560,2017-01-11 06:35:38,"b""RT @happyhippiefdn: Thanks @POTUS for your leadership &amp; service to the world. We'll continue your legacy of fighting for equality for all!\xe2\x80\xa6"""
815398344608673792,2017-01-01 03:24:49,b'Happy new yearzzzzz from me and my mama!!!! @tishcyrus https://t.co/hqXURTr7J1'
815278458137935873,2016-12-31 19:28:26,"b""Is this to obvious that I'm trying to hide something ..... #newyearspimples https://t.co/QLsLLvx4gs"""
814296730015449088,2016-12-29 02:27:23,b'\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94 wow...... this sad news makes me wanna hug my mama and never let go...... https://t.co/WX7vN63x0k'
813186969328979968,2016-12-26 00:57:36,b'Miss you already! Thank you for your radical activism in the LGBTQ community! Love you always! @happyhippiefdn https://t.co/nBCxjEstDo'
813114070085746688,2016-12-25 20:07:55,b'Happy Hollydaze! \xe2\x98\x83\xef\xb8\x8f\xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x8e\x84 #bestpresentwrappereva https://t.co/DhGf8FCHxt'
813073118507909120,2016-12-25 17:25:12,b'\xf0\x9f\x8e\x84Mewwwwwwwy Cwizzzzzmasssss!!!\xf0\x9f\x8e\x84 https://t.co/DQMfW55zeq'
811760932745453568,2016-12-22 02:31:02,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9aMaMa &amp; DaDa \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a https://t.co/HjowVnj2b2'
811635730233442305,2016-12-21 18:13:32,b'https://t.co/FpV7IVYoh3'
811392335565045761,2016-12-21 02:06:22,b'https://t.co/IYoo5xEJSe'
810700018315395072,2016-12-19 04:15:21,b'Zsa Zsa!!!!! What a LONG &amp; beautiful life! I have been beyond inspired by your style &amp; grace! \xf0\x9f\x92\x96\xf0\x9f\x8c\xb8\xf0\x9f\x8d\xa7\xf0\x9f\x91\x85 We LOVE &amp; MISS Y\xe2\x80\xa6 https://t.co/HJG3qOx97G'
810348283751202816,2016-12-18 04:57:41,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9aYUP! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9a https://t.co/aatmYv3wU9'
