id,created_at,text
834223245255700481,2017-02-22 02:08:15,b'Just posted a photo https://t.co/OM3iPrGaWV'
832466800310833154,2017-02-17 05:48:46,b'Just posted a video https://t.co/iGYP7BUbTW'
831528488423219202,2017-02-14 15:40:15,b'Just posted a video https://t.co/u3Stx7rjDi'
824525826490146816,2017-01-26 07:54:10,"b""I really missed this a lot on this year's Republic day parade but the shoes were duly filled by the NSG Commandos. https://t.co/P6QzTeOX8L"""
824520023293231105,2017-01-26 07:31:07,b'https://t.co/GUR6Fe94SO                                       No words can do https://t.co/hFTQjqP7wz this tribute to an outstanding soldier'
807123802870190080,2016-12-09 07:24:44,b'Just posted a photo https://t.co/7X7kvw9Plf'
781424396942450689,2016-09-29 09:24:29,b'RT @adgpi: Statement by DGMO #IndianArmy on 29 Sep 16 https://t.co/ckYOApWcHQ'
780278657315024896,2016-09-26 05:31:43,b'Just posted a photo https://t.co/pT7U2TyAO5'
766108791607820289,2016-08-18 03:05:44,b'Great comeback by Sakshi Malik 2 win our 1st medal in Rio.determination and self belief r the key for a performance like this.congratulation'
765213419477663744,2016-08-15 15:47:50,b'RT @NorthernComd_IA: #JKOps Update Uri Ops. Total five terrorists killed. Two soldiers injured; evacuated and stable. Op continues. @adgpi'
763760470465601536,2016-08-11 15:34:20,"b""As I walked the path, the journey became my life. Here's a glimpse of it. https://t.co/tNaMmQosSa"""
755021134987456516,2016-07-18 12:47:20,b'Team SPORTSFIT Lucknow.Nice to visit our first franchise.an hr of gym and fun with the members and management https://t.co/zLrJEs9QG0'
754905307843796992,2016-07-18 05:07:05,b'Long travel day ahead https://t.co/B2iVnNpqNu'
754374005755437056,2016-07-16 17:55:53,"b""Saw a full mch of boxing after yrs.thks @boxervijender for mkg INDIA proud,it's just the start ur hrd wrk,dedication and sacrifice paid off"""
751121522002198528,2016-07-07 18:31:40,"b'What could be the best way to celebrate my birthday,planted the 1st and very spl tree at the farm house KAILASHPATI https://t.co/QQ3DpDCCk1'"
751120259227189249,2016-07-07 18:26:39,"b""Thanks to all for ur lovely birthday wishes,it really means a lot.with god's blessing I could celebrate my birthday along with EID."""
748767533679816704,2016-07-01 06:37:46,b'Cngrts to IAF on their latest warbirds and every1 who were part of the project indeed a very proud moment for INDIA https://t.co/de6YANPzqE'
745892660506988544,2016-06-23 08:14:02,b'Just got served this during breakfast.thanks guys https://t.co/itK7Eewo0j'
743520736518737920,2016-06-16 19:08:52,"b'RT @IndiainZimbabwe: @M.S Dhoni with his team at reception at India House,Harare. About 200 community members attended the reception https:\xe2\x80\xa6'"
719099417869979648,2016-04-10 09:47:16,"b'Proud to be associated with Lava,a truly reliable Indian brand.Pic clicked on my Lava phone. @lavamobile #MSD4Lava https://t.co/1fJC7Znt6k'"
719064921699299328,2016-04-10 07:30:11,b'Wish u a very happy birthday Anant.u gave the best gift to urself by losing over 100kg.discipline and determination https://t.co/0BNEl0drlH'
712880573975367680,2016-03-24 05:55:48,b'Happy Holi to all https://t.co/FM24cE4sd1'
712734133009539074,2016-03-23 20:13:53,b'@SrBachchan thank you sir'
712721914062458880,2016-03-23 19:25:20,b'Nothing to add https://t.co/8rBel3vw4o'
711918629818793985,2016-03-21 14:13:22,"b'RT @adgpi: For his indomitable Courage, Sacrifice &amp; Bravery he was awarded the #AshokChakra posthumously. https://t.co/CfdIY3Rgf0'"
709371008507994113,2016-03-14 13:30:02,b'Super happy to say Gulf unites me with my first love.Happy 2 welcome my fav club @ManUtd to the @cruisestation family! #UnitedForGulf'
709363156074672128,2016-03-14 12:58:50,"b""Teaser:\n\nGulf's @CruiseStation always been abt things I luv.Bikes,crkt &amp; now..soccer.Happy2share super news soon! Stay tuned. #UnitedForGulf"""
