id,created_at,text
858235853461696512,2017-04-29 08:25:47,"b""#Jayalalithaa's former driver, suspect in murder case, killed in accident https://t.co/oS28LyvyG7 https://t.co/lXvYgklfx7"""
858227989418360832,2017-04-29 07:54:32,b'RT @switchtohealth: Know your #beer and drink it too... \xf0\x9f\x8d\xbahttps://t.co/Fsd6002dRx https://t.co/1muG2A3RIx'
858227939078426624,2017-04-29 07:54:20,"b""RT @carandbike: #Skoda Yeti SUV's replacement to be unveiled next month: https://t.co/rZeBzq3xCJ #Karoq https://t.co/RGeOO6AOTb"""
858227695372484609,2017-04-29 07:53:22,"b""RT @switchtohealth: 'Vetiver' doesn't ring a bell? We're sure you must have heard of 'khus khus'. https://t.co/sygn7854nz"""
858225654269194244,2017-04-29 07:45:15,"b""#TripleTalaq shouldn't be seen from political prism: PM @narendramodi https://t.co/IrURAsK8Oa https://t.co/11wdYxjKuk"""
858222197504184321,2017-04-29 07:31:31,"b'Despite apprehensions, #ASEAN summit might take stand on Chinese adventures in South China Sea\xe2\x80\xa6 https://t.co/D5pSl6Mitt'"
858221959989088257,2017-04-29 07:30:34,b'#TTVDinakaran case: Delhi Police quiz men on cash trail https://t.co/FJXfdD0API https://t.co/YDzZwF2vPP'
858221726462640128,2017-04-29 07:29:39,b'Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/vZnWgJ72UZ'
858221366675472384,2017-04-29 07:28:13,b'Lead story now on https://t.co/Fbzw6n8LeF: https://t.co/1vJKNsLYIi\n\n#NDTVLeadStory #TripleTalaq https://t.co/ViEjyOaeko'
858221042690609156,2017-04-29 07:26:56,b'.@SpaceX to launch classified US government payload on Sunday https://t.co/tSgNe2pWoM https://t.co/renzByYnlr'
858219413383860226,2017-04-29 07:20:27,"b""#TripleTalaq shouldn't be seen from political prism: PM @narendramodi https://t.co/IrURAsK8Oa https://t.co/f4IpMaSFNo"""
858216014143737856,2017-04-29 07:06:57,b'PM @narendramodi says #TripleTalaq issue should not be seen from political prism: Press Trust of India https://t.co/4IhXLvWKQf'
