id,created_at,text
805466666582691840,2016-12-04 17:39:52,b'.@toptal consistently puts out some of the best engineering blog posts on the web. Check out https://t.co/3drGJITZUN'
750687309062897669,2016-07-06 13:46:16,b'.@ToptalLLC consistently puts out some of the best engineering blog posts on the web. Check out https://t.co/zxOBnwQt5b'
750687237382152193,2016-07-06 13:45:59,b'.@ToptalLLC consistently puts out some of the best engineering blog posts on the web. Check out https://t.co/zxOBnx83WJ'
661791308940464128,2015-11-04 06:25:18,b'#DiwaliWithMi - This is crazy! \xe2\x82\xb91 Flash Sale. Check it out now! https://t.co/udB2an3Kks'
577161379527852032,2015-03-15 17:36:10,"b'RT @Abhikalpan_2k15: rules and regulations(for Selfie contest):\n 1. There should be only one person in sefie, no group selfie is allowed.'"
577161353242144768,2015-03-15 17:36:04,b'RT @Abhikalpan_2k15: 2. It should not be edited or exaggerated.\n 3. Send your selfie on the above stated mail id.'
577161341334523904,2015-03-15 17:36:01,b'RT @Abhikalpan_2k15: 4.the awardeewill be decided on the basis of Number of likes on your pictures(60%) and the points given on Quality and\xe2\x80\xa6'
577160631662440448,2015-03-15 17:33:12,"b'RT @Abhikalpan_2k15: for more info., visit\nhttps://t.co/UtbxU5cmcN'"
577160173346627584,2015-03-15 17:31:23,b'RT @Abhikalpan_2k15: 5. you can submit only 1 selfie.\n 6. It will be featured on our page within 24 hours..'
577160069285990400,2015-03-15 17:30:58,"b'RT @Abhikalpan_2k15: 7. Last Day and time of Submission is 20th March , 2015, 23:00 hrs.\n 8. The winning photographs will be declared on ou\xe2\x80\xa6'"
577160055604150272,2015-03-15 17:30:55,"b'RT @Abhikalpan_2k15: after 22nd March,2015 before 12:00 hrs..\n 9. Winner will get prizes or coupons worth rupees 500.\n coordinators:\n Sanja\xe2\x80\xa6'"
577158827155402752,2015-03-15 17:26:02,"b'RT @Abhikalpan_2k15: ""The Selfie Contest""\n email: selfie.abhikalpan@gmail.com http://t.co/4dgC5uaPdl'"
577158273293402112,2015-03-15 17:23:50,b'RT @Abhikalpan_2k15: Hurrayyyyyyyyy!!!\n We have crossed another milestone of 5000 likes. \n Congratulations to all the members. http://t.co/\xe2\x80\xa6'
577151980780408832,2015-03-15 16:58:49,b'RT @Abhikalpan_2k15: The time has come to witness the Revolution in India. Be the one by registering yourselves for Abhikalpan @ this link\n\xe2\x80\xa6'
577151919791067136,2015-03-15 16:58:35,b'RT @Abhikalpan_2k15: All those who are interested in becoming the CAMPUS AMBASSADOR of their college for Abhikalpan-2k15..kindly visit @\nht\xe2\x80\xa6'
577151900102983680,2015-03-15 16:58:30,b'RT @Abhikalpan_2k15: 7 days to go... http://t.co/yIECF1WgcK'
577151883384508416,2015-03-15 16:58:26,b'RT @Abhikalpan_2k15: http://t.co/wlL4vM1zyH'
577151870386372608,2015-03-15 16:58:23,b'RT @Abhikalpan_2k15: http://t.co/eWgwaW752Z'
577151758960443393,2015-03-15 16:57:56,"b'RT @college_fest: Abhikalpan, Technical Fest, Indian Institute of Information and Technology, Design and Manufacturing, Jabalpur,\xe2\x80\xa6 http://t\xe2\x80\xa6'"
577151539841630209,2015-03-15 16:57:04,"b""RT @Abhikalpan_2k15: Attend Shouvik Roy's Lecture on 'The Discipline in Creativity' during Abhikalpan 2015\nhttp://t.co/gxN7eoI40c http://t.\xe2\x80\xa6"""
577151423458111488,2015-03-15 16:56:36,b'RT @atulgupta181: Now RoboKriti.India is officially sponsor of Abhikalpan-2015 http://t.co/NvrriFDDcx'
576798788011982848,2015-03-14 17:35:22,b'RT @Abhikalpan_2k15: http://t.co/SZz2qWJ2vR'
576798320833601537,2015-03-14 17:33:30,b'RT @Abhikalpan_2k15: Jazbaat-The Dramatics Club is going to perform for the very first time in this event. 15th march 4:00 Pm - 6:00 Pm\nhtt\xe2\x80\xa6'
576798296401793024,2015-03-14 17:33:24,b'RT @Abhikalpan_2k15: RoboKriti.India organizing a workshop on Bluebotics: Develop your own Bluetooth controlled mobile robot.\nhttps://t.co/\xe2\x80\xa6'
576798263711387648,2015-03-14 17:33:17,b'RT @Abhikalpan_2k15: Abhikalpan-2015 proudly announces Robokriti as its associate partner... http://t.co/kZLPjXsYNJ'
566280161411096576,2015-02-13 16:58:06,"b""RT @Abhikalpan_2k15: Be ready to celebrate the spirit of Revolution India: Let's desire for a better future in #Abhikalpan-2k15...\\m/ http:\xe2\x80\xa6"""
562652317304909824,2015-02-03 16:42:20,b'RT @Abhikalpan_2k15: Follow us on:\nGoogle+ = abhikalpan iiitdmj\nFacebook=https://t.co/UtbxU5tXkR\nto get all updates regarding the fest.'
562649624326852610,2015-02-03 16:31:38,"b'RT @Abhikalpan_2k15: T-shirt design competition.\nTheme:  ""Revolution India..A Desire for better India"".\nFor more details, visit our page\nht\xe2\x80\xa6'"
508097107874414592,2014-09-06 03:39:25,"b""RT @TARANG_IIITDMJ: Perch on the Final Destination . Beyond the Horizon !!  @TARANG_IIITDMJ @iamOm21 #Tarang'14 #StayUpStayRaw http://t.co/\xe2\x80\xa6"""
